2026-03-28 12:24:16 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=13h16m25s135ms845µs).
2026-03-28 14:43:12 [tomcat-handler-68] INFO  : Session closing: b49f6e33-4961-6ade-2417-37b064a3056c - reason: null
2026-03-28 14:43:17 [tomcat-handler-69] INFO  : New session connected: fafef4bb-5f67-fe17-62df-f52af8afed18, user: t1
2026-03-28 14:43:17 [tomcat-handler-70] INFO  : New message from user: t1
2026-03-28 14:43:17 [tomcat-handler-70] INFO  : End of message processing - session: fafef4bb-5f67-fe17-62df-f52af8afed18 from: t1
2026-03-28 14:43:17 [tomcat-handler-70] INFO  : New message from user: t1
2026-03-28 14:43:17 [tomcat-handler-70] INFO  : End of message processing - session: fafef4bb-5f67-fe17-62df-f52af8afed18 from: t1
2026-03-28 14:43:17 [tomcat-handler-70] INFO  : New message from user: t1
2026-03-28 14:43:17 [tomcat-handler-70] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 14:43:17 [tomcat-handler-70] INFO  : End of message processing - session: fafef4bb-5f67-fe17-62df-f52af8afed18 from: t1
2026-03-28 14:43:17 [tomcat-handler-71] INFO  : New message from user: t1
2026-03-28 14:43:17 [tomcat-handler-71] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNDgyMywiZXhwIjoxNzc0NzA1NzIzfQ.w8xZrOQOw2kapNmj8IJkPJpal6jqBg-XQmiOla-laNoDbv7NvLJ1VFGAbEErjisx, Granted Authorities=[USER]]
2026-03-28 14:43:17 [tomcat-handler-71] INFO  : Sending message to owner: fafef4bb-5f67-fe17-62df-f52af8afed18
2026-03-28 14:43:17 [tomcat-handler-71] INFO  : End of message processing - session: fafef4bb-5f67-fe17-62df-f52af8afed18 from: t1
2026-03-28 14:43:57 [tomcat-handler-72] INFO  : Session closing: fafef4bb-5f67-fe17-62df-f52af8afed18 - reason: null
2026-03-28 14:44:02 [tomcat-handler-73] INFO  : New session connected: 80691684-067a-cbcc-f677-a85582dc6618, user: t1
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : New message from user: t1
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : End of message processing - session: 80691684-067a-cbcc-f677-a85582dc6618 from: t1
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : New message from user: t1
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : End of message processing - session: 80691684-067a-cbcc-f677-a85582dc6618 from: t1
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : New message from user: t1
2026-03-28 14:44:02 [tomcat-handler-74] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : End of message processing - session: 80691684-067a-cbcc-f677-a85582dc6618 from: t1
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : New message from user: t1
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNDgyMywiZXhwIjoxNzc0NzA1NzIzfQ.w8xZrOQOw2kapNmj8IJkPJpal6jqBg-XQmiOla-laNoDbv7NvLJ1VFGAbEErjisx, Granted Authorities=[USER]]
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : Sending message to owner: 80691684-067a-cbcc-f677-a85582dc6618
2026-03-28 14:44:02 [tomcat-handler-74] INFO  : End of message processing - session: 80691684-067a-cbcc-f677-a85582dc6618 from: t1
2026-03-28 14:48:02 [tomcat-handler-75] INFO  : Session closing: 80691684-067a-cbcc-f677-a85582dc6618 - reason: null
2026-03-28 14:48:07 [tomcat-handler-76] INFO  : New session connected: 6f253a2d-7f6d-e7eb-d0c3-6b34f7572da3, user: t1
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : New message from user: t1
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : End of message processing - session: 6f253a2d-7f6d-e7eb-d0c3-6b34f7572da3 from: t1
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : New message from user: t1
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : End of message processing - session: 6f253a2d-7f6d-e7eb-d0c3-6b34f7572da3 from: t1
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : New message from user: t1
2026-03-28 14:48:07 [tomcat-handler-77] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : End of message processing - session: 6f253a2d-7f6d-e7eb-d0c3-6b34f7572da3 from: t1
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : New message from user: t1
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNDgyMywiZXhwIjoxNzc0NzA1NzIzfQ.w8xZrOQOw2kapNmj8IJkPJpal6jqBg-XQmiOla-laNoDbv7NvLJ1VFGAbEErjisx, Granted Authorities=[USER]]
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : Sending message to owner: 6f253a2d-7f6d-e7eb-d0c3-6b34f7572da3
2026-03-28 14:48:07 [tomcat-handler-77] INFO  : End of message processing - session: 6f253a2d-7f6d-e7eb-d0c3-6b34f7572da3 from: t1
2026-03-28 14:49:25 [tomcat-handler-78] INFO  : Session closing: 6f253a2d-7f6d-e7eb-d0c3-6b34f7572da3 - reason: null
2026-03-28 14:51:42 [tomcat-handler-81] INFO  : New session connected: cf1586b4-9e74-d02c-efb5-63ab1ea8d5b2, user: t1
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : New message from user: t1
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : End of message processing - session: cf1586b4-9e74-d02c-efb5-63ab1ea8d5b2 from: t1
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : New message from user: t1
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : End of message processing - session: cf1586b4-9e74-d02c-efb5-63ab1ea8d5b2 from: t1
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : New message from user: t1
2026-03-28 14:51:42 [tomcat-handler-82] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : End of message processing - session: cf1586b4-9e74-d02c-efb5-63ab1ea8d5b2 from: t1
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : New message from user: t1
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNTg5NiwiZXhwIjoxNzc0NzA2Nzk2fQ.0p9pNY1pSEkgtWDkEvRwy5qeqZ5bA1_4wxopo1Je1TEs65JCe1QPhOB7-iKT3HnG, Granted Authorities=[USER]]
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : Sending message to owner: cf1586b4-9e74-d02c-efb5-63ab1ea8d5b2
2026-03-28 14:51:42 [tomcat-handler-82] INFO  : End of message processing - session: cf1586b4-9e74-d02c-efb5-63ab1ea8d5b2 from: t1
2026-03-28 15:03:40 [tomcat-handler-83] INFO  : Session closing: cf1586b4-9e74-d02c-efb5-63ab1ea8d5b2 - reason: null
2026-03-28 15:03:45 [tomcat-handler-84] INFO  : New session connected: 3c611e68-64d3-3c71-38b9-d9a5e056778a, user: t1
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : New message from user: t1
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : End of message processing - session: 3c611e68-64d3-3c71-38b9-d9a5e056778a from: t1
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : New message from user: t1
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : End of message processing - session: 3c611e68-64d3-3c71-38b9-d9a5e056778a from: t1
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : New message from user: t1
2026-03-28 15:03:45 [tomcat-handler-85] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : End of message processing - session: 3c611e68-64d3-3c71-38b9-d9a5e056778a from: t1
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : New message from user: t1
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNTg5NiwiZXhwIjoxNzc0NzA2Nzk2fQ.0p9pNY1pSEkgtWDkEvRwy5qeqZ5bA1_4wxopo1Je1TEs65JCe1QPhOB7-iKT3HnG, Granted Authorities=[USER]]
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : Sending message to owner: 3c611e68-64d3-3c71-38b9-d9a5e056778a
2026-03-28 15:03:45 [tomcat-handler-85] INFO  : End of message processing - session: 3c611e68-64d3-3c71-38b9-d9a5e056778a from: t1
2026-03-28 15:03:53 [tomcat-handler-86] INFO  : New message from user: t1
2026-03-28 15:03:53 [tomcat-handler-86] INFO  : /postShoppingItem connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNTg5NiwiZXhwIjoxNzc0NzA2Nzk2fQ.0p9pNY1pSEkgtWDkEvRwy5qeqZ5bA1_4wxopo1Je1TEs65JCe1QPhOB7-iKT3HnG, Granted Authorities=[USER]]
2026-03-28 15:03:53 [tomcat-handler-86] ERROR : pl.kamjer.shoppinglistservice.exception.NoResourcesFoundException: No such topic exists
2026-03-28 15:03:53 [tomcat-handler-86] INFO  : End of message processing - session: 3c611e68-64d3-3c71-38b9-d9a5e056778a from: t1
2026-03-28 15:03:57 [tomcat-handler-87] INFO  : Session closing: 3c611e68-64d3-3c71-38b9-d9a5e056778a - reason: null
2026-03-28 15:03:57 [tomcat-handler-88] INFO  : New session connected: d94f2c22-ed97-6047-8841-395cc1affe83, user: t1
2026-03-28 15:03:57 [tomcat-handler-89] INFO  : New message from user: t1
2026-03-28 15:03:57 [tomcat-handler-89] INFO  : End of message processing - session: d94f2c22-ed97-6047-8841-395cc1affe83 from: t1
2026-03-28 15:03:57 [tomcat-handler-89] INFO  : New message from user: t1
2026-03-28 15:03:57 [tomcat-handler-89] INFO  : End of message processing - session: d94f2c22-ed97-6047-8841-395cc1affe83 from: t1
2026-03-28 15:03:57 [tomcat-handler-89] INFO  : New message from user: t1
2026-03-28 15:03:57 [tomcat-handler-89] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 15:03:57 [tomcat-handler-89] INFO  : End of message processing - session: d94f2c22-ed97-6047-8841-395cc1affe83 from: t1
2026-03-28 15:03:57 [tomcat-handler-89] INFO  : New message from user: t1
2026-03-28 15:03:57 [tomcat-handler-89] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNTg5NiwiZXhwIjoxNzc0NzA2Nzk2fQ.0p9pNY1pSEkgtWDkEvRwy5qeqZ5bA1_4wxopo1Je1TEs65JCe1QPhOB7-iKT3HnG, Granted Authorities=[USER]]
2026-03-28 15:03:58 [tomcat-handler-89] INFO  : Sending message to owner: d94f2c22-ed97-6047-8841-395cc1affe83
2026-03-28 15:03:58 [tomcat-handler-89] INFO  : End of message processing - session: d94f2c22-ed97-6047-8841-395cc1affe83 from: t1
2026-03-28 15:04:56 [tomcat-handler-90] INFO  : Session closing: d94f2c22-ed97-6047-8841-395cc1affe83 - reason: null
2026-03-28 15:24:37 [tomcat-handler-91] INFO  : New session connected: 8394a052-8c7d-5b33-0cda-1befae519ef6, user: t1
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : New message from user: t1
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : End of message processing - session: 8394a052-8c7d-5b33-0cda-1befae519ef6 from: t1
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : New message from user: t1
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : End of message processing - session: 8394a052-8c7d-5b33-0cda-1befae519ef6 from: t1
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : New message from user: t1
2026-03-28 15:24:37 [tomcat-handler-92] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : End of message processing - session: 8394a052-8c7d-5b33-0cda-1befae519ef6 from: t1
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : New message from user: t1
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNzg3NywiZXhwIjoxNzc0NzA4Nzc3fQ.TQncX69BJZ-EHrPBwt1PDHB5Y4iGMD4xqVqq6WZh6jl5RzxIYKY1ZLrOQQEIkxho, Granted Authorities=[USER]]
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : Sending message to owner: 8394a052-8c7d-5b33-0cda-1befae519ef6
2026-03-28 15:24:37 [tomcat-handler-92] INFO  : End of message processing - session: 8394a052-8c7d-5b33-0cda-1befae519ef6 from: t1
2026-03-28 15:24:41 [tomcat-handler-93] INFO  : Session closing: 8394a052-8c7d-5b33-0cda-1befae519ef6 - reason: null
2026-03-28 15:24:44 [tomcat-handler-94] INFO  : New session connected: 4975347f-345e-ff1c-cf44-d7aef89821d3, user: t1
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : New message from user: t1
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : End of message processing - session: 4975347f-345e-ff1c-cf44-d7aef89821d3 from: t1
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : New message from user: t1
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : End of message processing - session: 4975347f-345e-ff1c-cf44-d7aef89821d3 from: t1
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : New message from user: t1
2026-03-28 15:24:44 [tomcat-handler-95] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : End of message processing - session: 4975347f-345e-ff1c-cf44-d7aef89821d3 from: t1
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : New message from user: t1
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNzg3NywiZXhwIjoxNzc0NzA4Nzc3fQ.TQncX69BJZ-EHrPBwt1PDHB5Y4iGMD4xqVqq6WZh6jl5RzxIYKY1ZLrOQQEIkxho, Granted Authorities=[USER]]
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : Sending message to owner: 4975347f-345e-ff1c-cf44-d7aef89821d3
2026-03-28 15:24:44 [tomcat-handler-95] INFO  : End of message processing - session: 4975347f-345e-ff1c-cf44-d7aef89821d3 from: t1
2026-03-28 15:25:01 [tomcat-handler-96] INFO  : New message from user: t1
2026-03-28 15:25:01 [tomcat-handler-96] INFO  : /postShoppingItem connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcwNzg3NywiZXhwIjoxNzc0NzA4Nzc3fQ.TQncX69BJZ-EHrPBwt1PDHB5Y4iGMD4xqVqq6WZh6jl5RzxIYKY1ZLrOQQEIkxho, Granted Authorities=[USER]]
2026-03-28 15:25:01 [tomcat-handler-96] ERROR : pl.kamjer.shoppinglistservice.exception.NoResourcesFoundException: No such topic exists
2026-03-28 15:25:01 [tomcat-handler-96] INFO  : End of message processing - session: 4975347f-345e-ff1c-cf44-d7aef89821d3 from: t1
2026-03-28 15:39:42 [tomcat-handler-97] INFO  : Session closing: 4975347f-345e-ff1c-cf44-d7aef89821d3 - reason: null
2026-03-28 16:43:00 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2026-03-28 16:43:00 [tomcat-shutdown] INFO  : Graceful shutdown complete
2026-03-28 16:43:00 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m23s90ms361µs300ns).
2026-03-28 16:43:02 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-28 16:43:02 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2026-03-28 16:43:02 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
2026-03-28 16:43:15 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2026-03-28 16:43:15 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 21596 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2026-03-28 16:43:15 [main] INFO  : The following 1 profile is active: "dev"
2026-03-28 16:43:17 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-28 16:43:17 [main] INFO  : Finished Spring Data repository scanning in 207 ms. Found 3 JPA repository interfaces.
2026-03-28 16:43:18 [main] INFO  : Tomcat initialized with port 5443 (http)
2026-03-28 16:43:18 [main] INFO  : Initializing ProtocolHandler ["http-nio-5443"]
2026-03-28 16:43:18 [main] INFO  : Starting service [Tomcat]
2026-03-28 16:43:18 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-03-28 16:43:18 [main] INFO  : Initializing Spring embedded WebApplicationContext
2026-03-28 16:43:18 [main] INFO  : Root WebApplicationContext: initialization completed in 3186 ms
2026-03-28 16:43:19 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2026-03-28 16:43:19 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2026-03-28 16:43:19 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2026-03-28 16:43:19 [main] INFO  : Successfully validated 1 migration (execution time 00:00.043s)
2026-03-28 16:43:19 [main] INFO  : Current version of schema `shopping_list_db`: 1
2026-03-28 16:43:19 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2026-03-28 16:43:19 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-28 16:43:19 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2026-03-28 16:43:20 [main] INFO  : HHH000026: Second-level cache disabled
2026-03-28 16:43:20 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-28 16:43:20 [main] INFO  : HikariPool-1 - Starting...
2026-03-28 16:43:20 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@3e4636c3
2026-03-28 16:43:20 [main] INFO  : HikariPool-1 - Start completed.
2026-03-28 16:43:20 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-28 16:43:21 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-28 16:43:21 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-28 16:43:22 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-28 16:43:22 [main] INFO  : Global AuthenticationManager configured with AuthenticationProvider bean with name jwtAuthenticationProvider
2026-03-28 16:43:23 [main] INFO  : Exposing 0 endpoints beneath base path '/actuator'
2026-03-28 16:43:23 [main] INFO  : Starting ProtocolHandler ["http-nio-5443"]
2026-03-28 16:43:23 [main] INFO  : Tomcat started on port 5443 (http) with context path '/'
2026-03-28 16:43:23 [main] INFO  : Started ShoppingListServiceApplication in 9.321 seconds (process running for 9.979)
2026-03-28 16:45:09 [SpringApplicationShutdownHook] INFO  : Commencing graceful shutdown. Waiting for active requests to complete
2026-03-28 16:45:09 [tomcat-shutdown] INFO  : Graceful shutdown complete
2026-03-28 16:45:09 [SpringApplicationShutdownHook] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2026-03-28 16:45:09 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown initiated...
2026-03-28 16:45:09 [SpringApplicationShutdownHook] INFO  : HikariPool-1 - Shutdown completed.
2026-03-28 16:45:21 [background-preinit] INFO  : HV000001: Hibernate Validator 8.0.2.Final
2026-03-28 16:45:21 [main] INFO  : Starting ShoppingListServiceApplication using Java 21.0.3 with PID 12432 (C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService\target\classes started by kjerz in C:\Users\kjerz\Desktop\programy programowanie\projekty\ShoppingListService)
2026-03-28 16:45:21 [main] INFO  : The following 1 profile is active: "dev"
2026-03-28 16:45:22 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-28 16:45:22 [main] INFO  : Finished Spring Data repository scanning in 166 ms. Found 3 JPA repository interfaces.
2026-03-28 16:45:24 [main] INFO  : Tomcat initialized with port 5443 (http)
2026-03-28 16:45:24 [main] INFO  : Initializing ProtocolHandler ["http-nio-5443"]
2026-03-28 16:45:24 [main] INFO  : Starting service [Tomcat]
2026-03-28 16:45:24 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-03-28 16:45:24 [main] INFO  : Initializing Spring embedded WebApplicationContext
2026-03-28 16:45:24 [main] INFO  : Root WebApplicationContext: initialization completed in 2789 ms
2026-03-28 16:45:25 [main] WARN  : Error: 1193-HY000: Unknown system variable 'WSREP_ON'
2026-03-28 16:45:25 [main] INFO  : Database: jdbc:mariadb://localhost/shopping_list_db?user=root&password=******** (MariaDB 11.7)
2026-03-28 16:45:25 [main] WARN  : Flyway upgrade recommended: MariaDB 11.7 is newer than this version of Flyway and support has not been tested. The latest supported version of MariaDB is 11.2.
2026-03-28 16:45:25 [main] INFO  : Successfully validated 1 migration (execution time 00:00.026s)
2026-03-28 16:45:25 [main] INFO  : Current version of schema `shopping_list_db`: 1
2026-03-28 16:45:25 [main] INFO  : Schema `shopping_list_db` is up to date. No migration necessary.
2026-03-28 16:45:25 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-28 16:45:25 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2026-03-28 16:45:25 [main] INFO  : HHH000026: Second-level cache disabled
2026-03-28 16:45:25 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-28 16:45:25 [main] INFO  : HikariPool-1 - Starting...
2026-03-28 16:45:25 [main] INFO  : HikariPool-1 - Added connection org.mariadb.jdbc.Connection@f252762
2026-03-28 16:45:25 [main] INFO  : HikariPool-1 - Start completed.
2026-03-28 16:45:25 [main] WARN  : HHH90000025: MariaDBDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-28 16:45:26 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-28 16:45:26 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-28 16:45:27 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-28 16:45:27 [main] INFO  : Global AuthenticationManager configured with AuthenticationProvider bean with name jwtAuthenticationProvider
2026-03-28 16:45:27 [main] INFO  : Exposing 0 endpoints beneath base path '/actuator'
2026-03-28 16:45:29 [main] INFO  : Starting ProtocolHandler ["http-nio-5443"]
2026-03-28 16:45:29 [main] INFO  : Tomcat started on port 5443 (http) with context path '/'
2026-03-28 16:45:29 [main] INFO  : Started ShoppingListServiceApplication in 8.477 seconds (process running for 9.183)
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : Initializing Servlet 'dispatcherServlet'
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : Completed initialization in 0 ms
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : New session connected: d78294d8-8ce3-d19f-fda5-15fb0d21c594, user: t1
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : New message from user: t1
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : End of message processing - session: d78294d8-8ce3-d19f-fda5-15fb0d21c594 from: t1
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : New message from user: t1
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : End of message processing - session: d78294d8-8ce3-d19f-fda5-15fb0d21c594 from: t1
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : New message from user: t1
2026-03-28 16:46:26 [tomcat-handler-0] ERROR : java.lang.IllegalArgumentException: Wrong amount of parameters
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : End of message processing - session: d78294d8-8ce3-d19f-fda5-15fb0d21c594 from: t1
2026-03-28 16:46:26 [tomcat-handler-0] INFO  : New message from user: t1
2026-03-28 16:46:27 [tomcat-handler-0] INFO  : /synchronizeData connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcxMjU2NiwiZXhwIjoxNzc0NzEzNDY2fQ.xaRGrmiXm2WFiGfCDxAwPb5bvjIQXUxxzkyZym9azSp-96o6ZPlIFOiFY8IOUOAi, Granted Authorities=[USER]]
2026-03-28 16:46:27 [tomcat-handler-0] INFO  : Sending message to owner: d78294d8-8ce3-d19f-fda5-15fb0d21c594
2026-03-28 16:46:27 [tomcat-handler-0] INFO  : End of message processing - session: d78294d8-8ce3-d19f-fda5-15fb0d21c594 from: t1
2026-03-28 16:46:32 [tomcat-handler-1] INFO  : New message from user: t1
2026-03-28 16:46:32 [tomcat-handler-1] INFO  : /postShoppingItem connected: User UsernamePasswordAuthenticationToken [Principal=t1, Credentials=[PROTECTED], Authenticated=true, Details=eyJhbGciOiJIUzM4NCJ9.eyJzdWIiOiJ0MSIsImlhdCI6MTc3NDcxMjU2NiwiZXhwIjoxNzc0NzEzNDY2fQ.xaRGrmiXm2WFiGfCDxAwPb5bvjIQXUxxzkyZym9azSp-96o6ZPlIFOiFY8IOUOAi, Granted Authorities=[USER]]
2026-03-28 16:46:32 [tomcat-handler-1] ERROR : pl.kamjer.shoppinglistservice.exception.NoResourcesFoundException: No such topic exists
2026-03-28 16:46:32 [tomcat-handler-1] INFO  : End of message processing - session: d78294d8-8ce3-d19f-fda5-15fb0d21c594 from: t1
2026-03-28 16:48:36 [tomcat-handler-2] INFO  : Session closing: d78294d8-8ce3-d19f-fda5-15fb0d21c594 - reason: null
